WADL ID,Batch,IT ID,Unit Cell Type,Mass (g),x_bend (mm),x _stretch (mm),x_vert (mm),x_joint (mm),Energy Absorbed (J),Energy Absorbed per Unit Mass (J/g)
517,15,,Octet,0.78,0.36,0.52,0,0.57,3.96,5.046
518,15,184,Octet,0.81,0.45,0.37,0,0.57,4.23,5.21
519,15,,Octet,0.85,0.48,0.32,0,0.45,4,4.711
520,15,,Octet,0.82,0.39,0.53,0,0.37,4.08,4.968
521,15,"193
212
221
230",Octet,0.76,0.39,0.32,0,0.91,4.2,5.523
522,15,,Octet,0.78,0.31,0.65,0,0.32,3.79,4.85
523,15,23,Octet,0.78,0.33,0.59,0,0.48,3.51,4.484
524,15,,Octet,0.79,0.28,0.48,0,0.93,3.77,4.785
525,15,"217
226
235",Octet,0.82,0.47,0.35,0,0.5,4.14,5.046
526,15,,Octet,0.8,0.41,0.44,0,0.59,4.23,5.31
527,15,194,Octet,0.8,0.5,0.29,0,0.39,3.56,4.443
528,15,,Octet,0.74,0.29,0.34,0,1.12,3.56,4.811
529,15,,Octet,0.74,0.33,0.28,0,1.1,3.92,5.321
530,15,,Octet,0.79,0.38,0.47,0,0.65,4,5.094
531,15,,Octet,0.76,0.36,0.29,0,1.03,3.81,5.015
532,15,,Octet,0.78,0.47,0.37,0,0.44,3.99,5.126
533,15,,Octet,0.77,0.33,0.62,0,0.35,3.49,4.559
534,15,,Octet,0.74,0.43,0.3,0,0.8,3.86,5.236
535,15,,Octet,0.76,0.35,0.47,0,0.75,3.76,4.96
536,15,,Octet,0.77,0.43,0.37,0,0.67,4.05,5.27
537,15,,Octet,0.77,0.3,0.62,0,0.52,3.73,4.834
538,15,,Octet,0.75,0.31,0.53,0,0.75,3.42,4.569
539,15,,Octet,0.74,0.43,0.29,0,0.81,3.71,5.005
540,15,,Octet,0.75,0.35,0.5,0,0.68,3.83,5.11
541,16,,Octet,0.82,0.44,0.44,0,0.42,3.79,4.598
542,16,,Octet,0.81,0.32,0.41,0,0.96,3.63,4.466
543,16,,Octet,0.82,0.33,0.53,0,0.67,3.67,4.465
544,16,,Octet,0.8,0.37,0.46,0,0.72,3.98,4.958
545,16,,Octet,0.82,0.47,0.38,0,0.42,3.82,4.661
546,16,,Octet,0.8,0.41,0.32,0,0.84,3.85,4.834
547,16,,Octet,0.82,0.35,0.58,0,0.41,3.81,4.653
548,16,,Octet,0.86,0.48,0.34,0,0.39,3.69,4.265
549,16,,Octet,0.87,0.37,0.58,0,0.26,3.8,4.388
550,16,,Octet,0.85,0.35,0.55,0,0.53,4,4.698
551,16,,Octet,0.82,0.36,0.56,0,0.43,3.88,4.757
552,16,,Octet,0.82,0.46,0.43,0,0.3,3.9,4.769
553,16,,Octet,0.78,0.32,0.33,0,1.08,3.64,4.649
554,16,,Octet,0.85,0.48,0.3,0,0.51,3.79,4.436
